TestID,Algorithm,Pre-Indexed,Normalized jumps,Grams size,Jumps size,Parallel,TotalDocs,TotalTime,AvgSpearmanSim10,MinSpearmanSim10,MaxSpearmanSim10,AvgTime10,MinTime10,MaxTime10,AvgSpearmanSim20,MinSpearmanSim20,MaxSpearmanSim20,AvgTime20,MinTime20,MaxTime20,AvgSpearmanSim40,MinSpearmanSim40,MaxSpearmanSim40,AvgTime40,MinTime40,MaxTime40
1,tdIdf,false,false,1,0,false,1648,364,-0.0004,-0.0987,0.0323,13,6,20,0.0059,-0.0428,0.0492,21,17,47,0.0007,-0.0470,0.0508,34,29,46
2,bm25,false,false,1,0,false,1648,48,-0.0049,-0.0401,0.0423,7,5,12,-0.0011,-0.0518,0.0530,10,9,18,0.0011,-0.0349,0.0393,21,16,105
3,tdIdf,false,false,1,0,true,1648,407,0.0027,-0.0509,0.0527,23,15,78,0.0035,-0.0591,0.0824,29,23,49,0.0039,-0.0485,0.0807,44,38,52
4,bm25,false,false,1,0,true,1648,96,0.0030,-0.0510,0.0628,12,9,40,0.0017,-0.0429,0.0496,19,13,91,0.0018,-0.0644,0.0434,29,24,35
5,tdIdf,false,true,1,0,false,1648,362,-0.0023,-0.0583,0.0438,14,6,18,0.0026,-0.0387,0.0429,20,16,42,0.0042,-0.0539,0.0685,33,28,54
6,bm25,false,true,1,0,false,1648,43,-0.0056,-0.0793,0.0494,7,5,37,-0.0008,-0.0440,0.0694,11,9,24,0.0005,-0.0668,0.0666,20,17,50
7,tdIdf,false,true,1,0,true,1648,417,0.0011,-0.0398,0.0550,23,15,55,0.0009,-0.0382,0.0610,29,22,41,0.0078,-0.0473,0.0720,47,38,60
8,bm25,false,true,1,0,true,1648,98,-0.0032,-0.0750,0.0389,13,9,36,0.0036,-0.0432,0.0545,21,13,215,0.0002,-0.0518,0.0642,28,24,36
9,tdIdf,false,false,2,0,false,1648,536,-0.0013,-0.0450,0.0493,19,7,154,-0.0005,-0.0845,0.0663,26,23,39,-0.0035,-0.0583,0.0428,45,39,64
10,bm25,false,false,2,0,false,1648,102,-0.0033,-0.0565,0.0586,10,7,24,-0.0052,-0.0417,0.0320,16,14,25,-0.0018,-0.0580,0.0827,34,27,150
11,tdIdf,false,false,2,0,true,1648,625,0.0032,-0.0595,0.0632,25,14,37,-0.0057,-0.0412,0.0414,38,31,46,0.0012,-0.0569,0.0464,67,58,82
12,bm25,false,false,2,0,true,1648,183,-0.0028,-0.0499,0.0748,18,12,80,0.0076,-0.0470,0.0770,25,19,31,0.0067,-0.0420,0.0581,47,38,66
13,tdIdf,false,true,2,0,false,1648,551,-0.0054,-0.0821,0.0465,18,6,41,-0.0012,-0.0596,0.0571,29,25,34,-0.0053,-0.0757,0.0394,48,42,56
14,bm25,false,true,2,0,false,1648,120,-0.0026,-0.0421,0.0588,12,7,23,0.0019,-0.0340,0.0588,19,15,36,0.0028,-0.0491,0.0510,44,31,178
15,tdIdf,false,true,2,0,true,1648,644,0.0001,-0.0606,0.0736,25,17,33,0.0039,-0.0603,0.0647,41,34,64,-0.0015,-0.0557,0.0675,68,59,93
16,bm25,false,true,2,0,true,1648,192,0.0024,-0.0634,0.0489,16,12,25,0.0017,-0.0474,0.0552,34,23,144,-0.0014,-0.0620,0.0540,48,42,62
17,tdIdf,false,false,2,1,false,1648,927,0.0032,-0.0560,0.0675,28,7,99,0.0006,-0.0482,0.0589,39,34,49,0.0013,-0.0975,0.0523,73,65,91
18,bm25,false,false,2,1,false,1648,219,-0.0036,-0.0507,0.0503,21,7,153,-0.0011,-0.0530,0.0433,26,22,48,0.0014,-0.0338,0.0468,51,45,61
19,tdIdf,false,false,2,1,true,1648,1105,0.0014,-0.0505,0.0609,36,20,47,-0.0007,-0.0564,0.0566,60,47,95,-0.0028,-0.0481,0.0763,96,80,112
20,bm25,false,false,2,1,true,1648,379,-0.0001,-0.0422,0.0487,20,15,27,-0.0019,-0.0459,0.0521,34,28,41,-0.0006,-0.0542,0.0724,67,55,81
